Timestep	VariableName	EntityIdx	Value	Metadata
5	Regional Sheltered	Region08	0	Actor location
5	Regional Sheltered	Region09	0	Actor location
5	Regional Sheltered	Region10	0	Actor location
5	Regional Sheltered	Region11	0	Actor location
5	Regional Sheltered	Region12	0	Actor location
5	Regional Sheltered	Region13	0	Actor location
5	Regional Sheltered	Region14	0	Actor location
5	Regional Sheltered	Region15	0	Actor location
5	Regional Sheltered	Region16	0	Actor location
6	Deaths	[Actor1-160]	0	Actor alive
6	Casualties	[Actor1-160]	1	Actor health
6	Evacuees	[Actor1-160]	0	Actor location
6	Sheltered	[Actor1-160]	0	Actor location
6	Wellbeing	[Actor1-160]	0.7197819999999999	Actor health
6	Wealth	[Actor1-160]	0.621864	Actor resources
6	Safety	[Region1-16]	1.0	Region risk
6	Prosocial	[Actor1-160]	21	Actor action
6	Antisocial	[Actor1-160]	10	Actor action
6	Regional Wellbeing	Region01	0.5333333333333334	Actor health
6	Regional Wellbeing	Region02	0.7999999999999999	Actor health
6	Regional Wellbeing	Region03	0.65	Actor health
6	Regional Wellbeing	Region04	0.6	Actor health
6	Regional Wellbeing	Region05	0.775	Actor health
6	Regional Wellbeing	Region06	0.8155183157894736	Actor health
6	Regional Wellbeing	Region07	0.82	Actor health
6	Regional Wellbeing	Region08	0.7142857142857143	Actor health
6	Regional Wellbeing	Region09	0.7818181818181817	Actor health
6	Regional Wellbeing	Region10	0.6780444444444444	Actor health
6	Regional Wellbeing	Region11	0.7250000000000001	Actor health
6	Regional Wellbeing	Region12	0.7833333333333332	Actor health
6	Regional Wellbeing	Region13	0.6392727272727273	Actor health
6	Regional Wellbeing	Region14	0.526208	Actor health
6	Regional Wellbeing	Region15	0.7090909090909091	Actor health
6	Regional Wellbeing	Region16	0.7142857142857143	Actor health
6	Regional Deaths	Region01	0	Actor alive
6	Regional Deaths	Region02	0	Actor alive
6	Regional Deaths	Region03	0	Actor alive
6	Regional Deaths	Region04	0	Actor alive
6	Regional Deaths	Region05	0	Actor alive
6	Regional Deaths	Region06	0	Actor alive
6	Regional Deaths	Region07	0	Actor alive
6	Regional Deaths	Region08	0	Actor alive
6	Regional Deaths	Region09	0	Actor alive
6	Regional Deaths	Region10	0	Actor alive
6	Regional Deaths	Region11	0	Actor alive
6	Regional Deaths	Region12	0	Actor alive
6	Regional Deaths	Region13	0	Actor alive
6	Regional Deaths	Region14	0	Actor alive
6	Regional Deaths	Region15	0	Actor alive
6	Regional Deaths	Region16	0	Actor alive
6	Regional Casualties	Region01	0	Actor health
6	Regional Casualties	Region02	0	Actor health
6	Regional Casualties	Region03	0	Actor health
6	Regional Casualties	Region04	0	Actor health
6	Regional Casualties	Region05	0	Actor health
6	Regional Casualties	Region06	0	Actor health
6	Regional Casualties	Region07	0	Actor health
6	Regional Casualties	Region08	0	Actor health
6	Regional Casualties	Region09	0	Actor health
6	Regional Casualties	Region10	0	Actor health
6	Regional Casualties	Region11	0	Actor health
6	Regional Casualties	Region12	0	Actor health
6	Regional Casualties	Region13	1	Actor health
6	Regional Casualties	Region14	0	Actor health
